pairId,questionId,answerHuman,confidence,notes
synth-001,engagement,A,4,low-temp 明显更吸引人
synth-001,character,A,3,角色可信度略高
synth-001,emotion,tie,2,两者情感推进相当
synth-001,clarity,A,4,low-temp 叙事更清晰
synth-001,expectation,A,3,对后续发展期待略高
synth-005,engagement,B,3,default 版本更有趣
synth-005,character,A,4,
synth-005,emotion,B,3,
synth-005,clarity,A,4,
synth-005,expectation,B,3,
synth-010,engagement,A,4,
synth-010,character,A,3,
synth-010,emotion,A,4,
synth-010,clarity,tie,2,
synth-010,expectation,A,3,
synth-015,engagement,A,3,
synth-015,character,tie,2,
synth-015,emotion,B,3,
synth-015,clarity,A,4,
synth-015,expectation,A,3,
synth-020,engagement,B,4,
synth-020,character,B,3,
synth-020,emotion,tie,2,
synth-020,clarity,A,3,
synth-020,expectation,B,3,
synth-025,engagement,A,3,
synth-025,character,A,4,
synth-025,emotion,A,3,
synth-025,clarity,A,4,
synth-025,expectation,tie,2,
synth-030,engagement,A,4,
synth-030,character,A,3,
synth-030,emotion,A,4,
synth-030,clarity,A,4,
synth-030,expectation,A,3,
synth-035,engagement,tie,2,
synth-035,character,A,3,
synth-035,emotion,B,3,
synth-035,clarity,tie,2,
synth-035,expectation,B,3,
synth-040,engagement,B,3,
synth-040,character,B,4,
synth-040,emotion,tie,2,
synth-040,clarity,B,3,
synth-040,expectation,B,3,
synth-045,engagement,A,4,
synth-045,character,A,4,
synth-045,emotion,A,3,
synth-045,clarity,A,4,
synth-045,expectation,A,4,
