pairId,readerId,questionId,questionText,answer,confidence,timestamp,versionA,versionB
synth-001,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,B,4,2026-06-14T10:00:00Z,low-temp,default
synth-001,beta-reader-sim,character,哪个版本的角色更真实可信？,B,3,2026-06-14T10:00:00Z,low-temp,default
synth-001,beta-reader-sim,emotion,哪个版本的情感推进更自然？,A,3,2026-06-14T10:00:00Z,low-temp,default
synth-001,beta-reader-sim,clarity,哪个版本的叙事更清晰易懂？,B,4,2026-06-14T10:00:00Z,low-temp,default
synth-001,beta-reader-sim,expectation,哪个版本让你对后续发展更期待？,B,3,2026-06-14T10:00:00Z,low-temp,default
synth-002,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,B,3,2026-06-14T10:01:00Z,default,high-temp
synth-002,beta-reader-sim,character,哪个版本的角色更真实可信？,A,4,2026-06-14T10:01:00Z,default,high-temp
synth-002,beta-reader-sim,emotion,哪个版本的情感推进更自然？,B,3,2026-06-14T10:01:00Z,default,high-temp
synth-002,beta-reader-sim,clarity,哪个版本的叙事更清晰易懂？,A,4,2026-06-14T10:01:00Z,default,high-temp
synth-002,beta-reader-sim,expectation,哪个版本让你对后续发展更期待？,tie,2,2026-06-14T10:01:00Z,default,high-temp
synth-003,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,B,4,2026-06-14T10:02:00Z,high-temp,low-temp
synth-003,beta-reader-sim,character,哪个版本的角色更真实可信？,B,3,2026-06-14T10:02:00Z,high-temp,low-temp
synth-003,beta-reader-sim,emotion,哪个版本的情感推进更自然？,B,4,2026-06-14T10:02:00Z,high-temp,low-temp
synth-003,beta-reader-sim,clarity,哪个版本的叙事更清晰易懂？,B,4,2026-06-14T10:02:00Z,high-temp,low-temp
synth-003,beta-reader-sim,expectation,哪个版本让你对后续发展更期待？,B,3,2026-06-14T10:02:00Z,high-temp,low-temp
synth-004,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,A,3,2026-06-14T10:03:00Z,low-temp,high-temp
synth-004,beta-reader-sim,character,哪个版本的角色更真实可信？,A,3,2026-06-14T10:03:00Z,low-temp,high-temp
synth-004,beta-reader-sim,emotion,哪个版本的情感推进更自然？,A,2,2026-06-14T10:03:00Z,low-temp,high-temp
synth-004,beta-reader-sim,clarity,哪个版本的叙事更清晰易懂？,A,4,2026-06-14T10:03:00Z,low-temp,high-temp
synth-004,beta-reader-sim,expectation,哪个版本让你对后续发展更期待？,A,3,2026-06-14T10:03:00Z,low-temp,high-temp
synth-005,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,B,3,2026-06-14T10:04:00Z,default,low-temp
synth-005,beta-reader-sim,character,哪个版本的角色更真实可信？,B,4,2026-06-14T10:04:00Z,default,low-temp
synth-005,beta-reader-sim,emotion,哪个版本的情感推进更自然？,tie,3,2026-06-14T10:04:00Z,default,low-temp
synth-005,beta-reader-sim,clarity,哪个版本的叙事更清晰易懂？,B,3,2026-06-14T10:04:00Z,default,low-temp
synth-005,beta-reader-sim,expectation,哪个版本让你对后续发展更期待？,B,4,2026-06-14T10:04:00Z,default,low-temp
synth-006,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,B,4,2026-06-14T10:05:00Z,high-temp,default
synth-006,beta-reader-sim,character,哪个版本的角色更真实可信？,A,3,2026-06-14T10:05:00Z,high-temp,default
synth-006,beta-reader-sim,emotion,哪个版本的情感推进更自然？,B,3,2026-06-14T10:05:00Z,high-temp,default
synth-006,beta-reader-sim,clarity,哪个版本的叙事更清晰易懂？,B,3,2026-06-14T10:05:00Z,high-temp,default
synth-006,beta-reader-sim,expectation,哪个版本让你对后续发展更期待？,A,4,2026-06-14T10:05:00Z,high-temp,default
synth-007,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,A,3,2026-06-14T10:06:00Z,low-temp,default
synth-007,beta-reader-sim,character,哪个版本的角色更真实可信？,A,3,2026-06-14T10:06:00Z,low-temp,default
synth-007,beta-reader-sim,emotion,哪个版本的情感推进更自然？,B,4,2026-06-14T10:06:00Z,low-temp,default
synth-007,beta-reader-sim,clarity,哪个版本的叙事更清晰易懂？,A,3,2026-06-14T10:06:00Z,low-temp,default
synth-007,beta-reader-sim,expectation,哪个版本让你对后续发展更期待？,tie,2,2026-06-14T10:06:00Z,low-temp,default
synth-008,beta-reader-sim,engagement,哪个版本更让你想继续读下去？,B,4,2026-06-14T10:07:00Z,default,high-temp
synth-008,beta-reader-sim,character,哪个版本的角色更真实可信？,B,3,2026-06-14T10:07:00Z,default,high-temp
synth-008,beta-reader-sim,emotion,哪个版本的情感推进更自然？,B,3,2026-06-14T10:07:00Z,default,high-temp
